index,tweet,countnoun,countverb,countadj,countadp,countadv,countnum,countaux,countconj,countdet,countintj,countpart,countpron,countpropn,countpunct,countsconj,countx,sentiment score
1,modi crosses century rallies elections,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2,  narendramodi bring crowd paying head sending vans pick people houses,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,modi pakistani agent _ _ _ _ _ mouth,3,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0.0
4,  narendramodi justmodi modihiaayega delhiwithmodi,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,  bjpindia narendramodi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,retd vice admiral lambasts pm modi ins viraat allegation claims rajiv gandhi official visit,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,  computerbaba digvijaya _ incindia narendramodi aajtak zeenews,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
8,gst narendramodi sanjayazadsln,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,modiji accuses rajiv gandhi ins viraat family vacation shocking true compare selfless pm modiji spent cr public money touring foreign policy took country ride,12,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.175
10,awaited interview pm narendramodi exclusively zeenews viewers pm modi started packing bags opponents daydreaming,7,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
11,saying neech bhasmasur maut ka saudagar naamard boti boti kar denge asking pakistan remove pm narendramodi navjot singh sidhu openly speaks rally chowkidar ko niptane aaya hoon narendra modi ko thokne aaya hoon cc bjpindia amitshah,23,5,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0.0
12,  sudhirchaudhary narendramodi zeenews,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,  deshkishaanmodi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,  nitin_gadkari indiabolemodiphirse,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,mr modi turned habitual liar fact eminent personalities like vice admiral retd vinod parischa having set records straight shows vile nature modi lies downgrading indian political discourse shameful sabsebadajhootamodi,13,7,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0.1
16,  rajivgandhichorhai rahulgandhi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,  gen_vksingh deshkishaanmodi,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
18,care patients swallowing chewing difficulties watch new video need prevent harm eliminating imprecise terms soft diet describe texture thickness modified food bda_dietitians rcslt iddsi_org,13,6,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0.11818181818181818
19,  firekbarmodisarkar deshkishaanmodi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,pm modi rahul gandhi explaining according major issues india facing pm wants interview transeseses hindi english,7,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.08750000000000001
21,modi ji look policies sunaina nyay tribute courage equanimity nyay break shackles poverty nyay transform lives sunaina amp millions like,15,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
22,  modihiaayega,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,modi fumbles talking teleprompter called pappu ariticulate crystal clear talks times changed,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000002
24,modiji point use indian warships laws,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,kanwal different arnab apart arnab barking skills investigative journalist doesn find leads modi scams demonetisation pnb scam mudra loan scam sahara birla diaries rafale digs ins viraat naval officers hours,20,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
26,  one_by_two knew indian navy warship called ins virat news thanks modiji know nehru gandhis warships personal trip boats thursdaysthrowback,12,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
27,  supriya_sule kanchankool baramati everyvoteformodi,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,election prove turning point indias rise world pm narendramodi ji read interview modi ji talks young voters poll prospects national security deshkishaanmodi,16,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
29,mamataofficial lost totally threatens slap modi says elections scorching heat modi plot,5,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
30,today cabinet minister sh nitin_gadkari ji interacted business community amritsar leadership modi ji prioritiesed ease business key goals appealed vote nda modihiaayega puriforamritsar,13,4,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0.0
31,use warships vacations nehru gandhi family pm modi quotes limited rajiv gandhi misusing friends amp italian family started nehru indira amp young rajiv amp sanjay vacationing aboard ins delhi voyage indonesia,19,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.009523809523809526
32,  ranaayyub don tweet modi resign,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,ek commie dost ki logic pichle saal se sabse jyada garmi badhi hai aur modi ji lic office ac ni de rha wah sounds like mai single hun aur modi ji mujhe abhi tak ek bf ni diya nota vote dalungi ps lic employee,26,4,3,2,1,0,0,0,0,0,0,0,0,1,0,7,-0.07142857142857142
34,  vikasbha narendramodi pmmodionabp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,  narendramodi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,  nitin_gadkari deshkishaanmodi,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,delhi lets run narendramodi ji th pm central park inner circle cp new delhi shri rammadhavbjp ji amp smt smritiirani ji flag run shri kapilmishra_ind amp young benguluru south mp candidate tejasvi_surya lead run modifiedvikas modioncemore,17,4,9,1,1,0,0,0,1,0,0,0,1,0,0,2,0.05909090909090909
38,  narendramodi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,vice admiral vinod pasricha dismissed claims narendramodi rajivgandhi naval warship private taxi desperate attempt mislead voters phases won work mr narendramodi sabsebadajhootamodi,14,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3
40,reasons atul cry foul nehru period foundation laid daddy born indira period born rajiv period groomed mms period supposedly comedian modi period got exposed mistake mistaken funny,10,8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25
41,shri gautamgambhirs vision east delhi deshkishaanmodi,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,life better years ago man modi came power personal life better matter indian air force bombing target life voting improve vote shashitharoor incindia,15,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333
43,  himalayanzen smritiirani don reason loose amethi need change deliver tk cr bro,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07692307692307693
44,pm shri narendramodi addressing public meeting dindori maharashtra bharatbolenamonamo,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,man asks bjp spokesperson bjp planning win elections hinduvad amp aatankvad concerned small traders rubikaliyaquat rescue wait big news mamata banerjee said ll slap modi mins,15,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18333333333333335
46,  indiatodayexclusive loksabhaelections election didi versus people bengal pm narendramodi manogyaloiwal watch live t,7,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0.13636363636363635
47,petition questioning rahul gandhi citizenship dismissed sc company form mentions nationality british british citizen court bench headed chief justice ranjan gogoi said sabsebadajhootamodi,14,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
48,arun jaitley member investigation team probing bofors found evidence rajivgandhi delhi hc clean chit bjp govt modi appeal dismissed sc sabsebadajhootamodi shameonpmmodi modilies,14,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3666666666666667
49,  onepluspro maharshiday deshkishaanmodi blockbustermaharshi aitheyaasong hbdsaipallavi maharanapratap,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
50,jai shree ram modi modi chanting madan mitra roadshow desh ne man bana liya hai ki abkibaarmodisarkar tmchhi,7,2,4,1,2,0,0,0,0,0,0,0,0,0,0,1,0.0
51,  deshkishaanmodi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,  lavanyaballal ark exactly fekendra modi country,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25
53,matter country narendramodi ji addresses rally people attend huge numbers amp chant modi modi enthusiasm weeks results loksabhaelections announced amp deshkishaanmodi pm deshkishaanmodi,14,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0.4000000000000001
54,ground report fasal bima yojna pradhan mantri fasao yojna miffed rajkot farmers ready teach bjp lesson noteworthy farmer points fingers nexus modi government businessmen like anil ambani t,16,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0.2
55,narendra modi degree prime minister yadavakhilesh indiadecides,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
56,supreme god kabir appeared satyug satsukrit sant rampal ji maharaj jeetegatomodihi modihiaayega,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
57,modis reference gandhis indiannavy aircraft carrier ins viraat eighties holiday lakshadweep referring reported time indiatodays anita pratap t,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
58,  sabsabadajhootamodi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
59,unbearable loneliness narendra modi nmannathukkaren writes thewire_in lang en,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
60,  sabsebadajhootamodi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
61,pm modi lists abuses hurled says congress spare mother na,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0
62,  modionzee pm zeenews sudhirchaudhary narendramodi bjpindia,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,utter stupid election gimmick bjpindia dismissed sc narendramodi rahulkachallenge talk real election issues,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.19999999999999996
64,business depends subscriptions economic success depends publishing stuff readers loven,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
65,upa ke time kabhi roohafza khatam nai hua modi ne aapki botal se roohafza nikaal kar ambani ki botal daal dia chowkidar pyasa hai hamari sarkaar aayegi har musaimaan ko saalana pichhattees litre roohafza muft milega chidambaram calculations ab hoga nyay,20,9,6,1,0,0,0,0,0,1,0,0,0,0,0,4,0.0
66,  ins pm narendramodi modihiaayega,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
67,  sabsebadajhootamodi apt way describe modi ji leave stone unturned amp lengths hide truth people india,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
68,  myogiadityanath _ _ myogiadityanath narendramodi amitshah yadavakhilesh ndtv bbcworld cnni,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
69,  jaisriram mamataofficial modiaanewalahai,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
70,  narendramodi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71,  narendramodi power iron grip institutions hold media narrative ability swing elections modi real power influence minds millions school friends amp relatives literally punch real power,19,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2
72,pm narendramodi accuses gandhi family warship ins viraat personal taxi holiday rajivgandhi helm loksabhaelections pollswithapn,11,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
73,conclusive evidence modi thanos slowed time true picture people throwing chairs seen journos mini avengers escapes eye,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35
74,repeat arvindkejriwal narendramodi,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
75,evms removed strong room loaded truck amethi ordered opening strong rooms strong rooms supposed sealed till counting day isn,8,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4333333333333333
76,  modihiaayega,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
77,  rabindrajayanti shubho jonmodin dadu,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
78,fear rahulgandhi makes motormouth narendramodi fumble body language clear indication defeat left running threadmill lies hatred moving josh,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05000000000000001
79,  modihiaayega narendramodi incindia,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
80,met year old narendramodi supporter rode moped days km amravati delhi constituencies rajasthan mp haryana etc campaigned pm saying har har modi ghar ghar modi modideshkishaan says,14,8,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0.1
81,modi guilty iaf election campaign trips amp paying iaf pittance return bjp paid non official election trips sabsebadajhootamodi,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5
82,  deshkishaanmodi mlkhattar subhashbrala katariaambala sureshbhattbjp bjpambala,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
83,abbiamo vinto fascisti sono fuori dal salone del libro con peoplepubit abbiamo tenuto una posizione che qualcuno parsa scomoda ma era comodissima nel sol costituzione ottemperanza ai valori della repubblica iovadoatorino adesso che si pu dire,21,4,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0
84,  skpaswa narendramodi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
85,  narendramodi deshbolemodiphirse,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
86,modi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
87,  narendramodi naveen_odisha otvnews aajtak fani cyclone bhubaneswar narendramodi naveen_odisha otvnews,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
88,  sabsebadajhootamodi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
89,  mangopeopletalk saala rajiv gandhi ins viraat family holiday saala corrupt ins viraat fighter ship yaar carry fighter planes things rajiv time didn forces modi rajiv time,19,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.5
90,modi dissing generations gandhis elections nehru indira rajiv sonia rahul ofcourse runs maybe modi start dissing priyanka children future naamdaars brought justice pre emptively know,14,5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0.0
91,ji khalakassmaavaati val arj va ma bainhuma fi sittati ayyaamin summastwa alal arshi arrh maanu fs al bihi khabiran kabiran modihiaayega,7,3,4,1,1,0,0,0,0,0,0,0,1,0,0,4,0.0
92,woman throws slipper navjot singh sidhu speaking modi rally marked modi modi chants opi,6,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1
93,  news,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
94,  kahit na mahal na mahal mo yung tao kung di para sayo di para sayo felt,9,1,1,2,0,0,0,0,1,0,1,0,0,0,0,1,0.0
95,  zeenews narendramodi sudhirchaudhary abkibaarkiskisarkar modionzee,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
96,generally don share times videos vice admiral vinod pasricha retd exposes narendramodi fakery rajiv gandhi saying allegations totally wrong amp official trip,12,4,3,0,2,0,0,0,0,1,0,0,0,0,0,0,-0.22499999999999998
97,vice admiral retd vinod pasricha exposes pm modi lies says pm rajiv gandhi aboard ins viraat official visit visitors protocol sabsebadajhootamodi,14,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0.0
98, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
99,brexit party ann widdecombe claims deal brexit compared sacrifice ww ensure britain freedom rtoday,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,  cnnnews narendramodi rahulgandhi electionalert pm narendramodi years,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
101,  firstpost modiji vulture politics oppositions regional parties playing religious defence patriotism t,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
102,woman throws slipper navjot singh sidhu speaking modi rally marked modi modi chants,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
103,girl village intelligent amp honest narendra modi amp followers esp arun jaitley,6,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7
104,  narendramodi address violence problem west bengal election campaign spe,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
105,  exclusive pm narendramodi grudge aamaadmiparty conducted cbi raids arrested leaders find pm blocks delhi governments work sanjayazadsln tells cnn newss rupashreenanda electionswithnews loksabhaelections,14,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
106,  sirpareshrawal narendramodi abkibaarmodisarkar,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
107,rahulgandhi rally policeman slaps boy wearing modi mask asks chant chowkidar chor hai power money gandhis corruption bribing police goons real game begin come power,15,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6000000000000001
108,  sabsebadajhootamodi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
109,bhot hue mahengayi ki maar nhi chahiye hume aisi sarkar mehangipadimodisarkar zeba_yasmeen gujjar_chhora kalikaprasad kakorisalim poojashukla faeqkhan dr_yadavashish nishantraii javedhabibkhan mlarajeshsp vijayya cjeet raheema,14,3,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0.0
110,  watch pm modi purulia mujhe bataya gaya hai ki yahan didi ne kahan hai ki woh modi ko thapad maarna chahti hain didi mamata didi mein toh aapko didi kehta hun aapka aadar karta hun aapka thapad bhi mere liye ashirwaad ban jaayega woh bhi khalunga,28,1,4,1,1,0,0,0,1,0,0,0,1,1,0,8,-0.5
111,modi vs mahamilavat gang deshkishaanmodi,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
112,  deshkishaanmodi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
113,  swamy stop entertainment channel comic relief modi ji pm agai,7,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25
114,mr modi charges rajivgandhi bofors scam quashed,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
115,  narendramodi deshkishaanmodi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
116,  narendramodi abpnewstv pmmodionabp,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
117,modi mumbles fumbles tired scared,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
118,  loksabhaelections modihiaayega,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
119,modi mitro list work d tenure hey mudi tell topi kyu nahi pahani thi babari masood azhar ko kyu chhoda modi ok lemme talk rajiv gandhi errrrrr account work mudi,20,3,2,1,0,1,0,0,0,2,0,0,0,1,0,0,0.5
120,  amitshah hardilmeimodi shahonnews,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
121,  deshkishaanmodi bjpindia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
122,fellow countrymen cr litres sewage litres entering ganga daily cause ganga nallah previous govts busy making money amp cleaning drive past richer amp ganga dirtier narendramodi possible,13,2,9,2,1,0,0,0,0,0,0,0,0,0,0,0,-0.06333333333333332
123,jai ho modi ji,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
124,good job woman throws slipper navjot singh sidhu speaking modi rally marked modi modi chants opindia news opindia_com,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.39999999999999997
125,  divyaspandana modi obsession gandhi incredible,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
126,incorrect statements modiji,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
127,  modionzee nt miss pm narendra modis pure political interview sudhirchaudhary tonight pm zeenews narendramodi bjpindia,8,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0.10714285714285714
128,kolkata day thing lies btwn bjps victory masses unequivocally love modiji fear intimidation mamta goons try spread clearly people overcoming fear voting slogan chup chap kamal chap massive bjp gains sure,21,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.275
129,  madhuparna_et u blind colour blind modi blind,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.5
130,polymer modified bitumen pmb market forecast available new report polymer modified bitumen pmb,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2681818181818182
131,  rajivgandhi ins viraat private taxi pm narendramodi picks story media archive dug twitter user dprarohana handle stands shadow banned,11,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
132,wtf modi ji plz stop causing damages,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.5
133,  iftikhar _ rrazzaqpmln scorpio un unhumanrights wsj nytimes sushmaswaraj narendramodi razarumi,7,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.0
134,bjp majority lok sabha elections says pm narendra modi exclusive conversation sudhirchaudhary watch modionzee tonight pm zeenews narendramodi bjpindia,13,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
135,modiji distraction amp fakery resort indian air force jets taxi paid low iaf jets election trips scared sins haunting shamelessly pointing fingers,14,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
136,guttermouth sherryontopp tasted dinosaur eggs face rally people chanted modi modi modi modi pakpremi got balls soundly kicked,9,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.4
137,  sabsebadajhootamodi modi says cong fight terrorism cong rule masood azhar arrested imprisoned hafiz saeed declared global terrorist terrorism kashmir controlled modis pig headed policies kashmir revived terror,17,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
138,congress misusing navy defence minister nsitharaman press conference modiinsviraatattack,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
139,age rajiv gandhi enslaved muslims women islamic zealots passing law overturn shah bano judgement suffer horrors triple talaq halala age modi finally freed women passing law triple talaq criminal,20,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.2
140,  rahulroushan rss bjp isi agents going mental knowing anti india agenda modi quic,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
141,energetic supporters supporting hon ble pm narendramodi anupampkher piyushgoyal yashodhararaje,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0.375
142,slap modi aaj tak abp news misreport mamata banerjee statement altnews,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
143,  narendramodi massive crowd pm modis purulia good bye didi deshkishaanmodi,4,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0.35
144,  chattisgarh madhyapradesh rajasthan loan waived days rahulgandhi liar officeofknath said don jadu ki chadi days shame jeetensingh roadindia lillymarypinto singh_harmeet nitinipf modihiaayega deshkishaanmodi,15,3,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0
145,mr modi scared s basically outmanoeuvred frankly s political force ve demolished s abusing read cp rahulgandhis interview thetribunechds aditi tandon anshumalini t,5,8,3,2,3,0,0,0,0,0,0,0,0,1,0,1,0.0
146,  deshkishaanmodi providing true grassroots development poor women empowered amp financially strong,3,2,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0.12777777777777774
147,  rti justmodi rahulkabaapchorhai,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
148,rd clear government majority bjp modiji people going accept formula creates uncertainty incoherence muralidhar rao deshkishaanmodi,11,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000002
149,liar narendramodi sabsebadajhootamodi t,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
150,namdar family congress ins viraat personal taxi pm modi raises rajiv gandhis lakshadweep vacation aircraft carrier,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
