tweet_id,tweet_text
1,modi crosses century rallies elections
2,  narendramodi bring crowd paying head sending vans pick people houses
3,modi pakistani agent _ _ _ _ _ mouth
4,  narendramodi justmodi modihiaayega delhiwithmodi
5,  bjpindia narendramodi
6,retd vice admiral lambasts pm modi ins viraat allegation claims rajiv gandhi official visit
7,  computerbaba digvijaya _ incindia narendramodi aajtak zeenews
8,gst narendramodi sanjayazadsln
9,modiji accuses rajiv gandhi ins viraat family vacation shocking true compare selfless pm modiji spent cr public money touring foreign policy took country ride
10,awaited interview pm narendramodi exclusively zeenews viewers pm modi started packing bags opponents daydreaming
11,saying neech bhasmasur maut ka saudagar naamard boti boti kar denge asking pakistan remove pm narendramodi navjot singh sidhu openly speaks rally chowkidar ko niptane aaya hoon narendra modi ko thokne aaya hoon cc bjpindia amitshah
12,  sudhirchaudhary narendramodi zeenews
13,  deshkishaanmodi
14,  nitin_gadkari indiabolemodiphirse
15,mr modi turned habitual liar fact eminent personalities like vice admiral retd vinod parischa having set records straight shows vile nature modi lies downgrading indian political discourse shameful sabsebadajhootamodi
16,  rajivgandhichorhai rahulgandhi
17,  gen_vksingh deshkishaanmodi
18,care patients swallowing chewing difficulties watch new video need prevent harm eliminating imprecise terms soft diet describe texture thickness modified food bda_dietitians rcslt iddsi_org
19,  firekbarmodisarkar deshkishaanmodi
20,pm modi rahul gandhi explaining according major issues india facing pm wants interview transeseses hindi english
21,modi ji look policies sunaina nyay tribute courage equanimity nyay break shackles poverty nyay transform lives sunaina amp millions like
22,  modihiaayega
23,modi fumbles talking teleprompter called pappu ariticulate crystal clear talks times changed
24,modiji point use indian warships laws
25,kanwal different arnab apart arnab barking skills investigative journalist doesn find leads modi scams demonetisation pnb scam mudra loan scam sahara birla diaries rafale digs ins viraat naval officers hours
26,  one_by_two knew indian navy warship called ins virat news thanks modiji know nehru gandhis warships personal trip boats thursdaysthrowback
27,  supriya_sule kanchankool baramati everyvoteformodi
28,election prove turning point indias rise world pm narendramodi ji read interview modi ji talks young voters poll prospects national security deshkishaanmodi
29,mamataofficial lost totally threatens slap modi says elections scorching heat modi plot
30,today cabinet minister sh nitin_gadkari ji interacted business community amritsar leadership modi ji prioritiesed ease business key goals appealed vote nda modihiaayega puriforamritsar
31,use warships vacations nehru gandhi family pm modi quotes limited rajiv gandhi misusing friends amp italian family started nehru indira amp young rajiv amp sanjay vacationing aboard ins delhi voyage indonesia
32,  ranaayyub don tweet modi resign
33,ek commie dost ki logic pichle saal se sabse jyada garmi badhi hai aur modi ji lic office ac ni de rha wah sounds like mai single hun aur modi ji mujhe abhi tak ek bf ni diya nota vote dalungi ps lic employee
34,  vikasbha narendramodi pmmodionabp
35,  narendramodi
36,  nitin_gadkari deshkishaanmodi
