i,tweet,countnoun,countverb,countadj,countadp,countadv,countnum,countaux,countconj,countdet,countintj,countpart,countpron,countpropn,countpunct,countsconj,countx,sentiment_polarity
1,mavalloksabha _ loksabha n parthformaval votinground3 votekar,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2,loksabha election pune,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,n mavalloksabha _ loksabha n parthformaval votinground3 votekar,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,3 n thirdphaseofvoting narendramodi bjp congress,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
5,mat bhool n loksabha elections n baramatiloksabha n voting enthusiasm nfestival biggest democracy,7,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
6,aap loksabha candidate north east delhi dilip pandey holds roadshow loksabhaelections2019 signaturebridge nphoto anindyatimes,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,n n loksabhaelections2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,350 evm n n n n bjp4india bjpsoldindia ecisveep sanjayazadsln rahulgandhi n n loksabhaelections2019,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
9,hahahaha congress leaders dont trust even families vote congress,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.2
10,electionswithpk n 3 n n abkibaarkiskisarkar loksabhaelections2019,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
11,kerala press hand symbol light shows lotus nhow faulty evms select bjp n loksabhaelections2019 votinground3 battleof2019 phase3 trivandrum kerala,12,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4
12,bhopal votinground3 phase3 n mediagaurav,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,happens kerala ndon lose friends different political idealogies n loksabhaelections2019,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,loksabhaelections2019 phase3 votinground3 n n 1 44 86,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
15,n n loksabhaelections2019 phirekbaarmodisarkar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16,bik gayi hai yeh ecisveep n nsomething seriously wrong happening foundation democracy damaged sc find time decide issue,8,6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.5
